AB3059,Art Battle Montreal,2025-10-01,Montréal,CAD,1672193117629,,,USD,962.01,41,2025-10-02 15:12:56.863,MISMATCH_PARTIAL
AB3056,Art Battle Pawtucket,2025-09-28,Pawtucket,USD,1569111367339,,,USD,454.50,21,2025-10-02 15:04:23.538,MISMATCH_PARTIAL
AB2938,AB2938 – Toronto,2025-09-23,Toronto,CAD,1451316880859,,,CAD,4569.28,249,2025-10-02 17:17:02.033,MISMATCH_PARTIAL
AB3048,Art Battle Ottawa,2025-09-19,Ottawa,CAD,1568800838539,"Art Battle Ottawa - September 19, 2025",2025-09-19,CAD,3760.00,151,2025-10-02 19:31:37.897,OK
AB3040,AB3040 – Boston,2025-09-18,Boston,USD,1448746823749,"Art Battle Boston - September 18, 2025",2025-09-18,USD,2442.86,104,2025-10-02 19:15:32.467,OK
AB3068,Art Battle Edmonton,2025-11-02,Edmonton,CAD,1708512640299,,,,,,,NO_DATA
AB3054,Art Battle Lancaster ,2025-10-31,Lancaster,USD,1613988506069,,,,,,,NO_DATA
AB3070,Art Battle Victoria,2025-10-27,Victoria,CAD,1721976069779,,,,,,,NO_DATA
AB3065,Art Battle Bangkok,2025-10-25,Bangkok,THB,1680676892829,,,,,,,NO_DATA
AB3032,AB3032 – San Francisco City Championship,2025-10-23,San Francisco,USD,1475395440479,,,,,,,NO_DATA
AB2941,Art Battle Toronto Masters,2025-10-21,Toronto,CAD,1609711934729,,,,,,,NO_DATA
AB3064,Art Battle Wilmington,2025-10-19,Wilmington,USD,1680140689029,,,,,,,NO_DATA
AB3038,Art Battle Auckland New Lynn,2025-10-18,Auckland,NZD,1513045964209,,,,,,,NO_DATA
AB3049,Art Battle Melbourne,2025-10-11,,,1662549804219,,,,,,,NO_DATA
AB3030,Art Battle Amsterdam,2025-10-05,Amsterdam,EUR,1581838123409,,,,,,,NO_DATA
AB3044,Art Battle Berkeley,2025-10-05,Oakland,USD,1553647805409,,,,,,,NO_DATA
AB3023,AB3023 – Bangkok,2025-09-27,Bangkok,THB,1416500233329,,,,,,,NO_DATA
AB3050,Art Battle Philadelphia,2025-09-26,Philadelphia,USD,1510588092649,,,,,,,NO_DATA
AB3037,Art Battle Pittsburgh,2025-09-25,Pittsburgh,USD,1528435625099,,,,,,,NO_DATA
AB3041,Art Battle Grand Rapids,2025-09-23,Grand Rapids,USD,1514610694359,,,,,,,NO_DATA
AB3036,AB3036 – Victoria,2025-09-21,Victoria,CAD,1486862137679,,,,,,,NO_DATA
AB3052,Art Battle Auckland Eden Park,2025-09-20,Auckland,NZD,1512095140269,,,,,,,NO_DATA
AB3035,Art Battle San Francisco Menlo Park,2025-09-20,San Francisco,USD,1549635935799,,,,,,,NO_DATA
AB3001,AB3001 – Sydney,2025-09-19,Sydney,AUD,1328320475299,,,,,,,NO_DATA
AB3026,AB3026 – San Francisco,2025-09-18,San Francisco,USD,1448746823749,,,,,,,NO_DATA
AB3039,Art Battle Lancaster,2025-09-16,Lancaster,USD,1543756229439,,,,,,,NO_DATA
AB3033,AB3033 – Seattle,2025-09-14,Seattle,USD,1446097680089,,,,,,,NO_DATA
AB3029,Art Battle Berkeley,2025-09-07,Oakland,USD,1508366397499,,,,,,,NO_DATA
AB3053,Art Battle Wilmington,2025-09-06,Wilmington,USD,1510652214439,,,,,,,NO_DATA
AB3046,Art Battle Philadelphia,2025-08-29,Philadelphia,USD,1509110984579,,,,,,,NO_DATA
AB2995,AB2995 – Sydney,2025-08-22,Sydney,AUD,1328152001389,,,,,,,NO_DATA
AB3019,AB3019 – Auckland CBD,2025-08-22,Auckland,NZD,1388134089429,,,,,,,NO_DATA
AB3043,AB3043 – Wichita Falls,2025-08-16,Wichita Falls,USD,1468935267929,,,,,,,NO_DATA
AB2900,AB2900 – Omaha,2025-08-09,Omaha,USD,1436594455689,,,,,,,NO_DATA
AB3014,AB3014 – Philadelphia,2025-07-25,Philadelphia,USD,1416358890569,,,,,,,NO_DATA
AB2990,AB2990 – Sydney,2025-07-25,Sydney,AUD,1309281258489,,,,,,,NO_DATA
AB2935,AB2935 – Art Battle Canadian Championship,2025-07-25,Toronto,CAD,1309281258489,,,,,,,NO_DATA
AB3020,AB3020 – San Francisco,2025-07-24,San Francisco,USD,1418486524379,,,,,,,NO_DATA
AB3042,AB3042 – Wilmington,2025-07-19,Wilmington,USD,1449727707599,,,,,,,NO_DATA
AB3031,AB3031 – Minnesota,2025-07-19,Minneapolis,USD,1414591935559,,,,,,,NO_DATA
AB3027,AB3027 – Victoria,2025-07-19,Victoria,CAD,1449727707599,,,,,,,NO_DATA
AB2964,AB2964 – Montreal,2025-07-18,Montreal,CAD,1411831549169,,,,,,,NO_DATA
AB3025,AB3025 – Boston,2025-07-18,Boston,USD,1396736930759,,,,,,,NO_DATA
AB2994,AB2994 – Ottawa City Championship,2025-07-05,Ottawa,CAD,1376495197189,,,,,,,NO_DATA
AB2998,AB2998 – Amsterdam,2025-06-29,Amsterdam,EUR,1318105762819,,,,,,,NO_DATA
AB3016,AB3016 – Seattle,2025-06-29,Seattle,USD,1318105762819,,,,,,,NO_DATA
AB3022,AB3022 –Wilmington,2025-06-29,Wilmington,USD,1318105762819,,,,,,,NO_DATA
AB3008,AB3008 – Philadelphia,2025-06-27,Philadelphia,USD,1384253041109,,,,,,,NO_DATA
AB3013,AB3013 – Tivat,2025-06-27,,,1384253041109,,,,,,,NO_DATA
AB2930,AB2930–Toronto City Championship! ,2025-06-25,Toronto,CAD,1271247929779,,,,,,,NO_DATA
